# Matter power spectrum P(k) at redshift z=1
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.741336384965e-01       1.344457590953e+02 
       4.773378536792e-01       1.325041231561e+02 
       4.805420690528e-01       1.305994391589e+02 
       4.837462846136e-01       1.287365439873e+02 
       4.869505003578e-01       1.269193250276e+02 
       4.901547162820e-01       1.251496307533e+02 
       4.933589323824e-01       1.234275430972e+02 
       4.965631486558e-01       1.217507926745e+02 
       4.997673650987e-01       1.201154714036e+02 
       5.029715817080e-01       1.185173078140e+02 
       5.061757984804e-01       1.169523172408e+02 
       5.093800154129e-01       1.154175538528e+02 
       5.125842325025e-01       1.139107900850e+02 
       5.157884497462e-01       1.124299795063e+02 
       5.189926671411e-01       1.109729747211e+02 
       5.221968846845e-01       1.095372821912e+02 
       5.254011023736e-01       1.081202667901e+02 
       5.286053202059e-01       1.067225389700e+02 
       5.318095381786e-01       1.053435249940e+02 
       5.350137562893e-01       1.039852532975e+02 
       5.382179745354e-01       1.026483115162e+02 
       5.414221929147e-01       1.013352044427e+02 
       5.446264114246e-01       1.000468147498e+02 
       5.478306300630e-01       9.878265316605e+01 
       5.510348488275e-01       9.754279416248e+01 
       5.542390677160e-01       9.632614995455e+01 
       5.574432867264e-01       9.513233239046e+01 
       5.606475058565e-01       9.396125386520e+01 
       5.638517251042e-01       9.281369739603e+01 
       5.909046412659e-01       8.389864982104e+01 
       6.214661708464e-01       7.514623450869e+01 
       6.567815084340e-01       6.657843073220e+01 
       6.988741293949e-01       5.803461657761e+01 
       7.512799214077e-01       4.940829474895e+01 
       8.207295051393e-01       4.050879064470e+01 
       9.211152758881e-01       3.117194831909e+01 
       1.080555161427e+00       2.158864027509e+01 
       1.332937433907e+00       1.321093352612e+01 
       1.675793103845e+00       7.659775409008e+00 
       2.109659023811e+00       4.387130134957e+00 
       2.655903222909e+00       2.492051136366e+00 
       3.343584058525e+00       1.405101424660e+00 
       4.209322937747e+00       7.869038040537e-01 
       5.299223612778e+00       4.379932351491e-01 
